logFC	PValue	gene	cko	con
0.16023752671540703	0.6972861544037346	Gramd1a	4675	5609
0.877779858145458	0.4391010146339904	Gabrg1	4	8
-0.08206112698855463	0.8416972415985002	Ckb	16372	16606
-0.13020029461280402	0.7524618937054185	Sp1	3685	3615
1.3309329729779618	0.1708704186007746	Itgb7	4	11
0.06302534402378256	0.8818974027683165	Myg1	995	1116
-0.3591203721158184	0.40324676343517835	Rarg	454	380
0.07848573726914511	0.8503445383127524	Pfdn5	2057	2332
0.02941888117409609	0.943012612389176	Efnb2	16862	18477
0.04780271559327527	0.9170380021557316	Rrp15	437	485
-0.37084124203928814	0.3674518993553244	Rnd2	9039	7505
0.2383102288175212	0.5662068728845983	Srr	1332	1687
0.8960774732814051	0.06157032410015267	Fndc5	58	116
0.12300709762091104	0.7701302368943768	Fbxo9	845	988
0.1437959623360867	0.7298044402744192	Vps50	1391	1650
0.0732989559114831	0.8601383719705458	Hars	2137	2414
0.06685858524445941	0.8721946891929598	Zmat2	2432	2735
-0.10330884698648352	0.8038854412745564	Ube2c	1850	1849
-0.1307363526718507	0.75167795376753	Smg5	3254	3191
-0.02586751752639273	0.9500949777248014	Cct3	8538	9004
-0.00207519728045991	0.9999999999999996	Glmp	624	669
-0.04708275519998296	0.910156141643184	Mef2d	2450	2546
-0.8455291504502981	0.11909657454614823	Tmem79	57	34
-0.1540675815873629	0.708616989532518	Snd1	4417	4262
-0.38696410712834783	0.3521767594616354	Col18a1	1397	1147
-0.01577051852496318	0.9725594430735156	Slc19a1	484	514
-0.07071689067726888	0.8633839413443335	Kpnb1	15471	15816
0.07095991670271688	0.863411024824481	Npepps	5423	6116
-0.2037928056026838	0.6263345841248922	Mrpl10	1003	935
0.10578140555245956	0.7978807979516571	Cyp51	3444	3979
0.02728262042466358	0.9474791370248088	Tcf25	6383	6984
-0.32845297622677083	0.4871866674296008	Tubb6	124	106
-0.03224079465188302	0.9389508804986592	Def8	2143	2250
0.34159340346462996	0.7456255523990214	Meox1	11	15
-0.678764210524987	0.5729812249103873	Nkx2-1	12	8
-0.4191175832229113	0.3433528738368792	Col1a1	213	171
0.06310286597399335	0.8946961038115837	Itga3	189	212
-0.15575648653780966	0.7066809706629766	Foxm1	2457	2368
-0.07458601465113805	0.86334198107876	Itfg2	716	730
0.5417826614971112	0.5466142908413423	Nrip2	7	11
-0.00898767613072328	0.9853085212427916	Tulp3	1030	1099
-0.21691431281853757	0.6063162174917831	Gtf2h4	682	630
-0.00239105029066518	0.9953741285635096	Tubb5	105466	113047
0.7314970250056732	0.1964103989148271	Ell2	28	50
-0.04857720813135323	0.9096424818426908	Jup	971	1008
-0.06442526217143417	0.8889757866156746	Fkbp10	187	192
0.30878289412951093	0.7161160098566257	Klhl10	9	12
0.09969566631943398	0.8125009405436615	Nom1	1030	1185
-0.04982268113784542	0.9042277805629676	Ergic1	4219	4376
-0.29032618048966646	0.9999999999999976	Acap1	8	7
-0.09956972918482192	0.8132857302319247	Ifrd1	976	978
0.07212595575771638	0.8676299248150827	Stk38l	505	570
-0.07972649817494008	0.8477854318685274	Brpf1	2385	2423
0.00249929841424562	1	Akr1b3	768	826
0.508921267531272	0.3557858499961679	Gstt1	34	52
-0.3375243468547353	0.43268330430040225	Ddt	399	339
0.4570957738727933	0.49809486848320855	Marveld3	21	31
-0.0754785617594988	0.8568003664794039	Ddx18	1585	1615
-0.15163591410425162	0.7140645348438186	Ubl3	2510	2426
0.01772766872348035	1	Gramd3	69	75
0.06691689358705463	0.874340580843426	Eef1e1	1035	1164
-0.09104468343352586	0.824708346658176	Akt1	12631	12732
-0.3986322273850106	0.6667830821768465	Cldn15	16	13
0.27446998579479054	0.7508694479554887	Il16	20	26
0.0615398457866611	0.8958277596126237	Tcirg1	166	186
0.2217661769618983	0.6421988964604083	Naglu	111	139
0.00672663806026313	0.9901469869899836	Coasy	877	946
-0.14355674962345027	0.7284152180553856	Smo	2889	2808
-0.5458737971338072	0.273729684693543	Tspan33	83	61
-0.04575815064760763	0.9133238195404528	Crnkl1	1744	1814
-0.3406571118835207	0.4401177977426968	Rin2	243	206
0.08064898928421416	0.8467023157405161	Chordc1	1684	1912
-0.05487475089184963	0.8947272622783273	Rtcb	3424	3539
-0.07420363847840672	0.8593529210994487	Pwp1	1513	1543
-0.0774027525256591	0.8730346964177088	Fbxo7	228	232
0.05445192908024077	0.8962344716269927	Capns1	2079	2318
-0.08705545935998794	0.8328356837577223	Lrp3	5099	5154
0.0154356535795729	0.972417935370236	Clpb	1244	1350
0.08857829112160259	0.829994016842178	Septin7	4603	5255
-0.2834118145217898	0.5054124140254754	Zdhhc4	509	449
0.04840150201875651	0.9065564837610228	Rac1	7453	8275
-0.05274634139628404	0.8994618642979472	Nup214	2193	2270
-0.1833542633390495	0.6584836104224633	Aif1l	1872	1770
-0.3022298879501799	0.4738760493449848	Ltbp1	727	633
-0.02581257934589846	0.9530692088693884	Ugp2	1007	1062
0.07546579811708912	0.8574837740696275	Trmt1	1226	1387
-0.01926066217253505	0.9631804300214826	Nacc1	4931	5224
-0.13744806879943872	0.7376615639963193	Nfix	54749	53440
-0.5187038142369392	0.2308340084763942	Slc1a5	359	269
0.07412544158276639	0.8567459036951628	Uba1	24642	27852
0.4671438603277677	0.2683671971172259	Vwf	446	662
0.22943998406372643	0.596268975968131	Siae	255	321
1.1416037251611482	0.206492439708772	Vsig2	5	12
0.3372187737030346	0.43741928599228264	Esam	230	312
-0.07770776248848428	0.9198280155597752	Spa17	58	59
0.08386524729674884	0.8413486563069735	Fam50a	812	924
-0.04722020735695697	0.9108966182017242	Emd	1484	1542
0.1963856770310995	0.649577386492239	Taco1	317	390
0.12366835969202417	0.763600169123875	Grik3	8960	10481
0.22710058015524728	0.5836331847379708	Gria3	1714	2154
-0.23189332708351415	0.6132760882035639	Npas1	198	181
-0.01867363300892218	0.9640711219809328	Sipa1l2	8070	8553
0.03072418260055529	0.9436137096291082	Ap4e1	558	612
0.01242306153527477	0.9882155658217452	Blvra	217	235
0.1389517651943265	0.7357658635687542	Pdzd4	5521	6527
0.0375295157855546	0.9288993451477696	Idh3g	1942	2140
0.29512091035647603	0.4832052898447155	Pnck	482	635
0.10013268122037608	0.814735672595555	Ssr4	716	824
0.06002380300882028	0.8881405806638172	Bcap31	721	807
0.1120495121566819	0.7880226555192016	Fam98a	1484	1722
-1.625725216172736	0.3258686520559293	Ltbp2	6	2
-0.13218004657125287	0.7478469520671244	Kmt2a	9784	9585
0.04725585238925275	0.9104525815465562	Ift46	1700	1886
0.49752298043417087	0.3073081617556065	Tmem25	60	91
-0.2437493346191918	0.5872440742381965	Trappc6a	225	204
-0.02991542741834176	0.9425293791605978	Supt6	5017	5276
-0.19148081083368773	0.6452084541031978	Spag5	1505	1415
0.02123144387230568	0.9614336785257536	Unc119	1161	1265
-0.00375673308881529	1	Rab34	508	544
0.10184786543625228	0.8127225532048661	Sdf2	611	704
-0.2405813208591058	0.5924949307693804	Ccne1	208	189
0.8886043057028101	0.2647251794877183	Hsf2bp	9	18
-0.0130960860869481	0.9846958127474322	Bbc3	344	366
-0.05670815851746253	0.8910217418294055	Psmc3	4059	4190
-0.0385149825922599	0.92732641114042	Acp2	1675	1751
0.03186046199001248	0.9480182909488348	Slc39a13	297	326
0.06965762523043904	0.8653055331725336	Celf2	24004	27047
-0.461459005695715	0.491633947063119	Nr1h3	18	14
-0.11962194877880604	0.7994559582240096	Ddb2	169	167
0.03821019241304951	0.9999999999999996	Spi1	39	43
-0.05719196940321219	0.8897313218270061	Sf3a1	6358	6561
0.6227908829942537	0.2056750024909281	Stat6	55	91
0.14565033894298174	0.7371687796532751	Clgn	229	272
0.0941982724223075	0.8249611018172964	Vrk3	746	855
-0.03887000039870687	0.9311665957804336	Smg9	665	695
0.01288249267311869	0.9765079832223096	Paxip1	1909	2068
-0.00129750264346009	0.9984764288080168	Rmnd5a	2710	2907
-0.4151850590403398	0.35070069885980903	Mov10	200	161
-1.2886218682472943	0.3885271152327972	Ppm1j	7	3
0.0502011208723761	0.9129388495912548	Rhoc	385	428
-0.14700290737594857	0.73868075930797	Tead3	362	351
-0.1858876800278422	0.6620140053461888	Ppard	641	605
-0.02449190732323846	0.9672202956336812	Def6	72	76
-0.18490316039183635	0.6544828382390069	Peg3	2937	2774
0.31915305896340757	0.5039995857586926	Zim1	103	138
-0.36478054973079904	0.3846793775650416	Metrn	794	662
0.03205662830862849	0.9429762792764153	Lmf1	317	348
0.0100004394470438	0.9860215653173916	Ciao3	567	613
-0.3159262578267697	0.5529003136086393	Angptl4	58	50
-0.03028398792687498	0.9442976781686944	Dbf4	1071	1126
0.01301684123454458	0.9767393481577638	Daxx	1451	1572
-0.01148911928831267	0.9812538804343202	Cd320	568	605
0.05745311788756949	0.8926025960881306	Ipo4	972	1086
-0.0552741789555615	0.8944846784918822	Tm9sf1	901	931
0.35378255432452205	0.4191240052208414	Rec8	223	306
0.03649968431164072	0.932712230733468	Irf9	425	468
-0.08892927279752215	0.8369912782516596	Gmpr2	634	640
0.00144951842626178	1	Mdp1	669	719
0.06648947324441377	0.8749977888429509	Dhrs1	1078	1212
0.1415792693241323	0.7301432271116325	Ncan	31893	37773
-0.12264304362315628	0.7720758069247223	Tmem161a	794	783
-0.15231532440249076	0.71555692291283	Armc6	1179	1139
-0.09496828121348376	0.8242860191230915	Borcs8	572	575
-0.08023143518712511	0.86479131709375	Slc25a42	193	196
-0.02427465816794486	0.9655451722550438	Snx9	305	322
-0.1237645563555924	0.7646497223738566	Ranbp3	3080	3035
-0.10252429136811234	0.8071411635331671	Ndufa11	1115	1115
5.565398159521463	0.04096458480476239	Bmp8b	0	6
-0.01752468331754855	0.969030544395118	Nr2f6	692	734
0.10156727441584552	0.8086659492138324	Use1	1112	1281
0.27816271563958206	0.5120690738534655	Ocel1	341	444
-0.0975682333254741	0.8148177336329934	Dyrk1b	1742	1748
0.00370788615235855	0.99399906023321	Braf	2303	2479
0.00784600414680975	0.9892515030231924	Ndufb2	742	801
0.00876246271463451	0.9853685579765756	Hltf	1197	1293
0.03121701421533677	0.94058270427529	Prpf6	2697	2959
-0.159667862007831	0.7103147065783464	Rgs19	489	470
-0.1593644448523912	0.7136385544786101	Rgs20	388	373
0.03312780661294411	0.9376166199248844	Snrpd1	1714	1883
-0.21290154149099835	0.6214937974243111	Tchp	475	440
-0.11195438311210634	0.7869138196113071	Tiam1	2611	2594
-0.05369850815517691	0.896587731270086	Tsc2	5228	5408
-0.00492201160524573	1	Slc9a3r2	200	214
-0.07599046247570555	0.8539441132218418	Puf60	4793	4882
-0.119927032445038	0.772505241170906	Golga2	2169	2143
-0.16592961712806373	0.6911948391050841	Uck1	1186	1135
0.00339701515824746	1	Ikzf4	630	678
0.24399859706230795	0.5588014022286082	Mien1	836	1063
-0.14900336621932386	0.7225586553597139	Axl	883	855
-0.09240166292635024	0.8563605213756094	Tgfb1	143	144
-0.03651244969518704	0.93065932544366	Ccdc97	2221	2325
0.24457659990779132	0.5607873928885253	Zfp40	669	851
-0.06235347730173218	0.8826031939689413	Akap8l	1204	1238
0.2349303378288769	0.5798957289922031	Pdcd2l	497	628
0.01949782351985234	0.9638652246552464	Gtf2f1	1756	1911
-0.06229089737544939	0.8834566467174917	Clpp	990	1018
-0.22504631419617485	0.6040505752447036	Alkbh7	270	248
0.3503671511873027	0.5205035276039993	Dennd1c	46	63
0.01475474315912309	0.9785925075311096	Med6	366	397
-0.2031634044940105	0.6286015765835408	Prkd1	920	858
-0.07063296532998899	0.9011626268225044	Lcp2	45	46
-0.03696413507506428	0.9291838545257564	Cse1l	3570	3736
0.02374893814676635	0.9584278288302238	Naa20	634	692
0.09991378025189045	0.8119571449564958	Prkra	1062	1222
0.5647569058615134	0.3657374106866234	Fkbp7	22	35
-0.02351195022083565	0.9567768398727732	Plekha3	746	788
0.01453748709491754	0.9724167462857348	Ykt6	4377	4747
0.04656235549622452	0.9100362782007366	Baz1b	8652	9594
-0.15504587132080633	0.7084685045002082	Pex6	2042	1969
-0.06926085706340204	0.8694430726145518	Mrpl2	686	702
0.00725168922934959	0.9881091072805454	Mea1	1290	1392
-0.101384177521609	1	Gnmt	11	11
0.10372946885888731	0.8621548878112615	Grin2d	65	75
-0.05358603952713137	0.8989430450811272	Kdelr1	1362	1409
0.15281815936914525	0.7302206078891634	Tmem143	222	265
0.26469811005657334	0.570582032621694	Ggct	131	169
0.21069571015013472	0.6187057401587976	Jag2	635	789
-0.1844559695336499	0.6640879617688568	Btbd6	670	633
0.158249397502753	0.7203882127957569	Nudt14	222	266
0.13062566140024542	0.7579056291078057	Epdr1	399	469
-0.12718475793127604	0.7582980033220167	Flii	3128	3075
-0.00761435930462074	0.9917553684962876	Top3a	647	691
-0.24589041694228347	0.555725609344928	Atg4d	1131	1024
-0.1894992941332694	0.6557861477884578	Qtrt1	410	386
0.04671346863571936	0.910557124832766	Hdgfl2	2991	3317
-0.2148870989205679	0.6038480030104247	Chaf1a	2122	1963
-0.05145524319985838	0.9014750819682285	Adprh	2969	3076
-0.00213330364156568	0.9999999999999996	Tmem39a	444	476
0.05149171323165255	0.9038907651607262	Timmdc1	994	1106
-0.35126911034701985	0.39447439580239296	Mcm2	3858	3247
-0.43711620522139255	0.3094238422360831	Tpra1	396	314
0.2700407719074404	0.5142382044201531	Nab1	1785	2311
0.34221092031492273	0.43817383720925496	Adgre5	191	260
-0.1580545862691292	0.7171205163443873	Il17ra	344	331
-0.06382401806315433	0.8791797680166922	Lamb1	1471	1511
-0.8493483218013986	0.04273364323132695	Kcnn1	1309	780
0.07404340239615678	0.8725119339795958	Arrdc2	215	243
-1.2457119609549323	0.3234517393007935	Ppp1r17	9	4
-0.8885802529729446	0.5884813286060379	Cd36	7	4
0.05440831661025281	0.9008806073075696	Map2k7	844	941
-0.0251662932595678	0.9548506205745516	Timm44	835	881
0.03828340685628899	0.926128358407849	Ap2a2	7071	7796
-0.19181253891739103	0.649348279007678	Pnkp	633	595
-0.1820246947880422	0.6587182472992669	Med25	4570	4325
-0.6312134611303967	0.25166708765120804	Bcam	52	36
-0.04767146121369562	0.9090235379078876	Clptm1	2451	2546
-0.5041160558159319	0.4073945769772979	Relb	41	31
-0.11489497695068912	0.7819188718890216	Tomm40	2109	2091
0.04064835087223243	0.9321498545758372	Apoe	460	508
0.0224470531414911	0.9578062595168536	Hbp1	2199	2398
0.05345412762312689	0.8970839144327233	Prkar2b	4913	5474
0.08753158546832343	0.8317147595041774	Cdkn1b	6306	7194
0.12633293684413474	0.8020835774439097	Klf4	93	109
-0.08698641921293693	0.8333207698962833	Ap1m1	3692	3732
0.06821028400492794	0.8700385338838968	Rab8a	1942	2186
-0.2089414834256176	0.6112185257765913	Hmgn2	10942	10164
0.2159247286223655	0.6004891082405868	Fam32a	3506	4372
-2.7258189694898913	0.01786221787857324	Elf3	13	2
-0.11758665329476337	0.7783499648523409	Stard3nl	1348	1334
-0.16788672543462163	0.6839925338406864	Stk11	3906	3733
-0.08908805399919514	0.831471637027368	Efna2	1389	1402
-0.08117362295484269	0.8447437274675655	Atp5d	2816	2858
-0.13177054021727366	0.7506790388937896	Ppp5c	2143	2100
-0.02693453143700829	0.9486486200529842	Cdk12	3290	3467
-0.03588513465504164	0.9343817162006492	Lipe	698	731
-0.0077863708379510696	0.9851291470377446	Pafah1b2	10386	11091
0.02766896880810041	0.948669148984999	Tbc1d8	667	730
-0.02275149653738647	0.9580448978622	Cnot11	1407	1487
0.02172746697841315	0.9628323462283356	Slc2a3	856	933
0.07351253061259397	0.8614224710867842	Foxj2	1148	1297
-0.09713412930019132	0.8193058121852832	Sri	802	805
0.02122087089525308	0.95961741884876	Dgcr2	3595	3917
0.05569665112395916	0.8959784806979818	Irf3	854	953
-0.28479389895161583	0.5080109240430719	Bcl2l12	320	282
0.24961897949598735	0.574033306185508	Zfp959	188	240
-0.11152794901422114	0.7870563514915089	Mpnd	3861	3837
-0.05613911579344238	0.8933101753618566	Sh3gl1	1836	1896
-0.9799937728177356	0.13163276244394206	Ebi3	24	13
-0.03097185726971479	0.9476824923862336	Yju2	354	372
0.0457875222479772	0.9118241381260324	Ranbp2	5144	5701
1.596141875221284	0.13336155110944625	Edar	3	10
0.00514617748841284	0.9920810587329	Grk5	671	723
-0.00985228066503835	0.9814095588715972	Dvl3	5079	5416
-0.00750852922193565	0.9874142429492884	Abcf3	1410	1506
-0.03870642110627979	0.926392753726068	Eif2b5	2277	2380
-0.00341849913511115	0.99387299826617	Cyth2	5287	5663
0.7497214913571096	0.21563496675409527	Sult2b1	21	38
0.2869691485873972	0.5043683212004308	Car11	329	431
0.03452246351587753	0.9367561526345616	Dlgap1	893	982
-0.0940645782730264	0.8347851033694001	Plag1	341	343
-0.10214901560252532	0.935946369598216	Hck	33	33
-0.3003875595161458	0.4724851114152601	Mrpl4	944	823
-0.03111311586873993	0.9413001002424228	Keap1	1931	2029
-0.0858385027236336	0.8348301015677425	Glg1	7732	7822
0.7802070393772275	0.3452667943140992	Atp8b3	7	13
-0.09048951478177156	0.8271355660014311	Btbd2	2744	2767
0.01584157483859549	0.9701647958030536	Csnk1g2	3134	3402
0.03256665035111342	0.9384903166870452	Abhd17a	1915	2103
-0.03926000469174166	0.9264772879350424	Mob3a	1316	1375
0.06090132178184123	0.8826227158049504	Cacnb3	5969	6685
-0.37956135560314586	0.5742586477580731	Ccdc65	17	14
-0.33998403774238994	0.8677252872474893	Fkbp11	13	11
-0.18566334473936535	0.6527658849891534	Ddx23	3536	3338
0.1335975599927741	0.7483559531644836	Pld3	1417	1669
-0.12340916691345027	0.7644251703403602	Grik5	6056	5969
0.0964185020237404	0.818426405392317	Rabac1	1082	1242
